

****************
Part B
****************

Solution for Part B with n = 64, omega = 1, and rho max = 12 took 5.62255 seconds
Reached specified tolerance of (1E-10) in 6392 iterations
This translates to 1.56 iterations/element

Part B Sol    numpy .eig    numpy .eigh
*****************************************
2.9893078319  2.9893078319  2.9893078319
6.9463241389  6.9463241389  6.9463241389
10.868463133  10.868463133  10.868463133
14.755243612  14.755243612  14.755243612
18.606161644  18.606161644  18.606161644
22.420688745  22.420688745  22.420688745
26.198269844  26.198269844  26.198269844
29.938321003  29.938321003  29.938321003
33.640226866  33.640226866  33.640226866
37.303337769  37.303337769  37.303337769
40.926966487  40.926966487  40.926966487
44.510384515  44.510384515  44.510384515
48.052817839  48.052817839  48.052817839
51.553442068  51.553442068  51.553442068
55.011376820  55.011376820  55.011376820
58.425679197  58.425679197  58.425679197
61.795336163  61.795336163  61.795336163
65.119255569  65.119255569  65.119255569
68.396255503  68.396255503  68.396255503
71.625051550  71.625051550  71.625051550
74.804241405  74.804241405  74.804241405
77.932286094  77.932286094  77.932286094
81.007486781  81.007486781  81.007486781
84.027955766  84.027955766  84.027955766
86.991579646  86.991579646  86.991579646
89.895971748  89.895971748  89.895971748
92.738409485  92.738409485  92.738409485
95.515749936  95.515749936  95.515749936
98.224312997  98.224312997  98.224312997
100.85971423  100.85971423  100.85971423
103.41661610  103.41661610  103.41661610
105.88833840  105.88833840  105.88833840
108.26620693  108.26620693  108.26620693
110.53836622  110.53836622  110.53836622
112.68744803  112.68744803  112.68744803
114.68740649  114.68740649  114.68740649
116.51932649  116.51932649  116.51932649
118.26556808  118.26556808  118.26556808
120.11428479  120.11428479  120.11428479
122.14456618  122.14456618  122.14456618
124.33882321  124.33882321  124.33882321
126.67422241  126.67422241  126.67422241
129.13773202  129.13773202  129.13773202
131.72417262  131.72417262  131.72417262
134.43535255  134.43535255  134.43535255
137.27974411  137.27974411  137.27974411
140.27123761  140.27123761  140.27123761
143.42672399  143.42672399  143.42672399
146.76364750  146.76364750  146.76364750
150.29880290  150.29880290  150.29880290
154.04858844  154.04858844  154.04858844
158.03010045  158.03010045  158.03010045
162.26247303  162.26247303  162.26247303
166.76824997  166.76824997  166.76824997
171.57487753  171.57487753  171.57487753
176.71657022  176.71657022  176.71657022
182.23694091  182.23694091  182.23694091
188.19303720  188.19303720  188.19303720
194.66198432  194.66198432  194.66198432
201.75276557  201.75276557  201.75276557
209.62919188  209.62919188  209.62919188
218.56106384  218.56106384  218.56106384
229.06431074  229.06431074  229.06431074
242.46542705  242.46542705  242.46542705
The Unit Tests have PASSED
