

****************
Part D
****************

Solution for Part D with n = 16, omega = 1, and rho max = 128 took 0.00416303 seconds
Reached specified tolerance of (1E-10) in 29 iterations
This translates to 0.11 iterations/element

Part D Sol    numpy .eig    numpy .eigh
*****************************************
113.41936045  113.41936045  113.41936045
453.57161086  453.57161086  453.57161086
1020.4920258  1020.4920258  1020.4920258
1814.1806071  1814.1806071  1814.1806071
2834.6373545  2834.6373545  2834.6373545
4081.8622679  4081.8622679  4081.8622679
5555.8553475  5555.8553475  5555.8553475
7256.6165932  7256.6165932  7256.6165932
9184.1460049  9184.1460049  9184.1460049
11338.443582  11338.443582  11338.443582
13719.509326  13719.509326  13719.509326
16327.343236  16327.343236  16327.343236
19161.945312  19161.945312  19161.945312
22223.315555  22223.315555  22223.315555
25511.453963  25511.453963  25511.453963
29026.360537  29026.360537  29026.360537
The Unit Tests have PASSED
