

****************
Part E
****************

Solution for Part E with n = 64, omega = 0, and rho max = 6 took 5.28256 seconds
Reached specified tolerance of (1E-10) in 7070 iterations
This translates to 1.73 iterations/element

Part E Sol w2   numpy .eig      numpy .eigh
********************************************
2.2294443109    2.2294443109    2.2294443109
4.1321655626    4.1321655626    4.1321655626
6.0862037654    6.0862037654    6.0862037654
8.1863849601    8.1863849601    8.1863849601
10.648761503    10.648761503    10.648761503
13.615033317    13.615033317    13.615033317
17.112934322    17.112934322    17.112934322
21.134954463    21.134954463    21.134954463
25.668890007    25.668890007    25.668890007
30.702189191    30.702189191    30.702189191
36.221959958    36.221959958    36.221959958
42.214671616    42.214671616    42.214671616
48.665970265    48.665970265    48.665970265
55.560590387    55.560590387    55.560590387
62.882322748    62.882322748    62.882322748
70.614014045    70.614014045    70.614014045
78.737584909    78.737584909    78.737584909
87.234059128    87.234059128    87.234059128
96.083600132    96.083600132    96.083600132
105.26555253    105.26555253    105.26555253
114.75848740    114.75848740    114.75848740
124.54025043    124.54025043    124.54025043
134.58801253    134.58801253    134.58801253
144.87832238    144.87832238    144.87832238
155.38716074    155.38716074    155.38716074
166.08999621    166.08999621    166.08999621
176.96184238    176.96184238    176.96184238
187.97731598    187.97731598    187.97731598
199.11069611    199.11069611    199.11069611
210.33598422    210.33598422    210.33598422
221.62696470    221.62696470    221.62696470
232.95726608    232.95726608    232.95726608
244.30042242    244.30042242    244.30042242
255.62993508    255.62993508    255.62993508
266.91933433    266.91933433    266.91933433
278.14224100    278.14224100    278.14224100
289.27242783    289.27242783    289.27242783
300.28388028    300.28388028    300.28388028
311.15085694    311.15085694    311.15085694
321.84794903    321.84794903    321.84794903
332.35013903    332.35013903    332.35013903
342.63285819    342.63285819    342.63285819
352.67204277    352.67204277    352.67204277
362.44418866    362.44418866    362.44418866
371.92640430    371.92640430    371.92640430
381.09646143    381.09646143    381.09646143
389.93284341    389.93284341    389.93284341
398.41479045    398.41479045    398.41479045
406.52234114    406.52234114    406.52234114
414.23636905    414.23636905    414.23636905
421.53861276    421.53861276    421.53861276
428.41169645    428.41169645    428.41169645
434.83913629    434.83913629    434.83913629
440.80532394    440.80532394    440.80532394
446.29547092    446.29547092    446.29547092
451.29548115    451.29548115    451.29548115
455.79168100    455.79168100    455.79168100
459.77023910    459.77023910    459.77023910
463.21581984    463.21581984    463.21581984
466.10791493    466.10791493    466.10791493
468.40439457    468.40439457    468.40439457
469.98499407    469.98499407    469.98499407
471.51444480    471.51444480    471.51444480
474.17716892    474.17716892    474.17716892
The Unit Tests have PASSED

